연도,학제,고등학교 유형,시도,교육지원청,행정구역,학교명,본분교,학교상태,설립구분,우편번호,주소,홈페이지,학급수,학생수,교원수
2015,고등학교,일반고,경기,경기,고양시,백석고등학교,본교,기존(원)교,공립,410-811,경기도 고양시 일산동구 강촌로 115 (마두동.백석고등학교),www.baekseok.hs.kr,36,"1,316",81
2015,고등학교,일반고,경기,경기,고양시,일산대진고등학교,본교,기존(원)교,사립,411-803,경기도 고양시 일산서구 대산로 246 (대화동.일산대진고등학교),isdj.hs.kr,45,"1,577",98
2015,고등학교,일반고,경기,경기,고양시,성사고등학교,본교,기존(원)교,공립,412-807,경기도 고양시 덕양구 호국로 869 . 성사고등학교 (성사동.성사고등학교),www.seongsa.hs.kr,34,"1,005",74
2015,고등학교,일반고,경기,경기,고양시,고양동산고등학교,본교,기존(원)교,공립,412-090,경기도 고양시 덕양구 동세로 20 (동산동),http://www.gydongsan.hs.kr,25,760,61
2015,고등학교,일반고,경기,경기,고양시,일산동고등학교,본교,기존(원)교,공립,411-320,경기도 고양시 일산서구 탄현로 100 . 일산동고등학교 (탄현동.일산동고등학교),www.ilsandong.hs.kr,38,"1,275",84
2015,고등학교,일반고,경기,경기,고양시,화수고등학교,본교,기존(원)교,공립,412-826,경기 고양시 덕양구 화수로 51 (화정동.화수고등학교),www.hwasu.hs.kr,38,"1,220",88
2015,고등학교,일반고,경기,경기,고양시,도래울고등학교,본교,신설(원)교,공립,412-060,경기도 고양시 덕양구 도래울1로 67 (도내동),http://doraeul.hs.kr,8,229,20
2015,고등학교,일반고,경기,경기,고양시,고양일고등학교,본교,기존(원)교,공립,412-801,경기도 고양시 덕양구 읍내로 13 (고양동.고양일고등학교),http://www.goyangil.hs.kr/,25,787,59
2015,고등학교,일반고,경기,경기,고양시,주엽고등학교,본교,기존(원)교,공립,411-804,경기도 고양시 일산서구 킨텍스로 341 (대화동.주엽고등학교),jygo.net,48,"1,624",112
2015,고등학교,일반고,경기,경기,과천시,과천고등학교,본교,기존(원)교,공립,427-800,경기도 과천시 꿈보람길 26 (별양동.과천고등학교),gwacheon.hs.kr,34,942,78
